Reference,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",173.250000,-91.750000,180.000000,top
"C2","100nF","C_0402_1005Metric",175.750000,-94.250000,90.000000,top
"C3","100nF","C_0402_1005Metric",176.750000,-77.000000,270.000000,top
"C4","100nF","C_0402_1005Metric",173.500000,-90.500000,180.000000,top
"C5","100nF","C_0402_1005Metric",176.500000,-84.000000,0.000000,top
"C6","100nF","C_0402_1005Metric",176.450000,-90.500000,0.000000,top
"C7","1uF","C_0603_1608Metric",176.950000,-91.750000,0.000000,top
"C8","22uF","C_0603_1608Metric",185.800000,-80.050000,270.000000,top
"C9","10nF","C_0402_1005Metric",182.750000,-83.000000,180.000000,top
"C10","33nF","C_0402_1005Metric",180.750000,-84.000000,0.000000,top
"C11","1nF","C_0402_1005Metric",182.750000,-84.000000,180.000000,top
"C12","10pF","C_0402_1005Metric",181.000000,-93.300000,90.000000,top
"C13","2.2nF","C_0402_1005Metric",188.250000,-89.250000,0.000000,top
"C14","10pF","C_0402_1005Metric",186.500000,-92.250000,270.000000,top
"C15","4.7pF","C_0402_1005Metric",188.250000,-90.250000,0.000000,top
"C16","1.5pF","C_0402_1005Metric",189.250000,-87.250000,180.000000,top
"C17","1.0pF","C_0402_1005Metric",190.750000,-86.750000,270.000000,top
"C18","10nF","C_0402_1005Metric",181.800000,-90.500000,180.000000,top
"C19","22uF","C_0603_1608Metric",187.350000,-80.050000,270.000000,top
"C20","100uF","CP_EIA-3528-15_AVX-H",182.500000,-76.500000,0.000000,top
"FB1","100Ohm@100MHz","L_0805_2012Metric",182.800000,-80.200000,90.000000,top
"J1","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",181.250000,-99.500000,180.000000,top
"J2","SMA","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",195.000000,-87.250000,0.000000,top
"L2","8.2nH","L_0402_1005Metric",185.750000,-87.750000,90.000000,top
"L3","2.7nH","L_0402_1005Metric",186.750000,-88.750000,270.000000,top
"L4","3.9nH","L_0402_1005Metric",187.250000,-87.250000,180.000000,top
"LD1","BLUE","LED_0603_1608Metric",173.250000,-94.250000,0.000000,top
"Q1","AO3401A","SOT-23",180.000000,-80.950000,180.000000,top
"Q2","AO3401A","SOT-23",175.100000,-98.000000,90.000000,top
"Q3","AO3401A","SOT-23",169.750000,-90.750000,90.000000,top
"R1","4k7","R_0402_1005Metric",175.500000,-81.750000,180.000000,top
"R2","4k7","R_0402_1005Metric",173.500000,-81.750000,0.000000,top
"R3","0R","R_0402_1005Metric",172.250000,-87.750000,90.000000,top
"R4","1M","R_0402_1005Metric",177.750000,-80.250000,90.000000,top
"R5","1k","R_0402_1005Metric",184.400000,-79.800000,270.000000,top
"R6","22k","R_0402_1005Metric",185.050000,-83.500000,90.000000,top
"R7","10R","R_0402_1005Metric",171.000000,-94.000000,90.000000,top
"R8","680","R_0402_1005Metric",177.500000,-94.250000,90.000000,top
"R9","680","R_0402_1005Metric",179.500000,-94.250000,270.000000,top
"R10","1M","R_0402_1005Metric",184.250000,-90.500000,180.000000,top
"R11","1M","R_0402_1005Metric",170.250000,-88.500000,0.000000,top
"R12","680","R_0402_1005Metric",178.500000,-94.250000,270.000000,top
"U1","SI7021","DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm",174.000000,-76.500000,0.000000,top
"U2","STM32L031G6Ux","QFN-28_4x4mm_P0.5mm",175.500000,-87.250000,90.000000,top
"U3","nRF24L01P","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",182.500000,-87.250000,270.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",183.750000,-92.750000,0.000000,top
